m,n,alg,time_sec
500,1024,NFDH,0.000002
500,1024,FFDH,0.000111
1000,1024,NFDH,0.000003
1000,1024,FFDH,0.000241
1500,1024,NFDH,0.000005
1500,1024,FFDH,0.000289
2000,1024,NFDH,0.000006
2000,1024,FFDH,0.000456
2500,1024,NFDH,0.000007
2500,1024,FFDH,0.000621
3000,1024,NFDH,0.000010
3000,1024,FFDH,0.000935
3500,1024,NFDH,0.000010
3500,1024,FFDH,0.001089
4000,1024,NFDH,0.000012
4000,1024,FFDH,0.001399
4500,1024,NFDH,0.000012
4500,1024,FFDH,0.001753
5000,1024,NFDH,0.000016
5000,1024,FFDH,0.001940
