m,n,alg,epsilon
500,1024,NFDH,0.333514
500,1024,FFDH,0.093789
1000,1024,NFDH,0.317446
1000,1024,FFDH,0.060230
1500,1024,NFDH,0.339066
1500,1024,FFDH,0.051434
2000,1024,NFDH,0.337486
2000,1024,FFDH,0.048311
2500,1024,NFDH,0.327265
2500,1024,FFDH,0.045192
3000,1024,NFDH,0.343264
3000,1024,FFDH,0.052103
3500,1024,NFDH,0.321663
3500,1024,FFDH,0.052729
4000,1024,NFDH,0.319353
4000,1024,FFDH,0.037634
4500,1024,NFDH,0.325815
4500,1024,FFDH,0.040307
5000,1024,NFDH,0.329012
5000,1024,FFDH,0.042683
