level,m_bytes,t_sec
memory,4096,5.8917e-06
memory,16384,5.4688e-06
memory,65536,1.1197e-05
memory,262144,4.372742e-05
memory,1048576,0.00016599568
memory,2097152,0.0003635587
memory,4194304,0.00129714473
memory,8388608,0.00297839219
