level,m_bytes,t_sec
qpi,4096,3.25358e-06
qpi,16384,4.5541e-06
qpi,65536,9.80631e-06
qpi,262144,4.438868e-05
qpi,1048576,0.00011416528
qpi,2097152,0.00019792397
qpi,4194304,0.00076358118
qpi,8388608,0.00264482708
