level,m_bytes,t_sec
network,4096,0.00021720788
network,16384,0.00029703775
network,65536,0.00122823317
network,262144,0.00286067625
network,1048576,0.00958981311
network,2097152,0.0185446242
network,4194304,0.0364328067
network,8388608,0.0722402927
