# T_n_start, N=65536, lambda=1e-5, mu=1, m=1
# n_start  lam=1e-5, mu=1, m=1
65527  2.900577e+00
65528  2.900661e+00
65529  2.900745e+00
65530  2.900829e+00
65531  2.900913e+00
65532  2.900998e+00
65533  2.901082e+00
65534  2.901166e+00
65535  2.901250e+00
65536  2.901334e+00
